Image,Red,Green,Blue,Contrast,Energy,Correlation,Homogeneity,Freshness
rotated_by_75_Screen Shot 2018-06-08 at 5.25.02 PM,480016,320784,308173,1455.458367346939,0.0917246481525942,0.8263458507854556,0.21610218695427633,1
rotated_by_15_Screen Shot 2018-06-08 at 5.15.21 PM,429908,287132,294462,1898.2661224489789,0.08973188811735883,0.8493936741615721,0.24313188033534525,1
rotated_by_15_Screen Shot 2018-06-08 at 5.26.41 PM,493084,503330,363093,1304.4151020408162,0.2985297863186356,0.8719573832854706,0.47552545177865396,1
rotated_by_15_Screen Shot 2018-06-08 at 5.27.06 PM,398133,463717,277134,1057.761224489796,0.08732452506627685,0.8597035661188939,0.3020049203269125,1
rotated_by_75_Screen Shot 2018-06-08 at 5.33.47 PM,403308,424642,264396,2111.4053061224486,0.10969800656680756,0.8002195352405869,0.23480309285269896,1
saltandpepper_Screen Shot 2018-06-08 at 5.27.49 PM,540097,381165,378831,682.4555102040816,0.35269486713653275,0.9452708370752343,0.43947812241596423,1
translation_Screen Shot 2018-06-08 at 5.34.14 PM,447555,279218,255347,1784.8959183673467,0.1820488238377955,0.8536256117570031,0.33888360629371916,1
rotated_by_60_Screen Shot 2018-06-08 at 5.04.11 PM,392666,292634,275832,1656.769795918367,0.3289882006267147,0.9177145352044381,0.5336905735420512,1
rotated_by_15_Screen Shot 2018-06-08 at 5.26.24 PM,497573,406689,350767,1427.0579591836736,0.23674384218776962,0.8917294027765137,0.42298546971960604,1
Screen Shot 2018-06-08 at 5.02.54 PM,514544,384679,352678,509.9951020408163,0.14045502303006946,0.9539065961409748,0.46036213468544573,1
rotated_by_45_Screen Shot 2018-06-08 at 5.04.24 PM,408961,295599,284820,2037.6751020408162,0.30365714790459436,0.8965144633935017,0.5120530656457596,1
rotated_by_60_Screen Shot 2018-06-08 at 5.21.06 PM,476396,408459,321933,1416.0951020408165,0.2351705894964298,0.8978835610982177,0.4498839477507294,1
rotated_by_45_Screen Shot 2018-06-08 at 5.26.58 PM,453612,411028,306079,1529.622857142857,0.161398253041861,0.8905922182360313,0.40746454983216673,1
rotated_by_75_Screen Shot 2018-06-08 at 5.33.27 PM,434322,293055,278980,1116.2004081632651,0.22099223443400287,0.9153433163519552,0.38744196240149165,1
rotated_by_30_Screen Shot 2018-06-08 at 5.18.51 PM,407971,439200,293727,1517.7873469387755,0.212080391506321,0.8833724667651605,0.4274887641567271,1
Screen Shot 2018-06-08 at 5.10.29 PM,557620,388634,390998,453.75102040816324,0.2205045140876438,0.94904607537407,0.35095009414207196,1
rotated_by_30_Screen Shot 2018-06-08 at 5.03.26 PM,490563,454921,336889,1345.5257142857145,0.2502714894049985,0.9025369007577485,0.4318612368024014,1
